# Encore clue bank — the LONG half. WORD|clue, one per line.
#
# Encore is the 9x9 weekday / 11x11 Sunday crossword, so it needs entry lengths
# the mini never used. This file carries 6, 8 and 9 letters; the 3, 4, 5 and 7
# letter entries come from scripts/emcee-wordbank.txt, which the generator reads
# alongside this one. Same hard rule as that file: EVERY CLUE IS HAND-WRITTEN
# AND CLUES ITS OWN ANSWER. Never generate a clue from a dictionary or WordNet
# gloss — a gloss defines a whole synonym set, so it reliably clues the wrong
# word, which is exactly the failure that forced the Emcee bank rebuild in
# August 2026. Everyday words only: no obscurities, no crosswordese.
#
# ── 6 letters ──────────────────────────────────────────────────────────────
ABSURD|Plainly ridiculous
ACHE|Dull pain
ACRE|Field measure
AGED|Grown old
AIDE|Assistant
AJAR|Slightly open
AKIN|Related
ALSO|As well
ALTO|Choir voice
AMID|In the middle of
ANEW|All over again
ANTE|Poker starter
ANTI|Against
APEX|The very top
AREA|Region
ARIA|Opera solo
ARMY|Ground force
ATOM|Tiniest bit
AUNT|Mom's sister
AUTO|Car
AVID|Very keen
AWAY|Not here
AXIS|Line of rotation
BABY|Newborn
BACK|Rear
BAIT|What the hook holds
BAKE|Put in the oven
BALD|No hair
BALE|Hay bundle
BALL|Round toy
BAND|Musical group
BANG|Loud noise
BANK|Where the money is
BARE|Uncovered
BARK|Tree's skin, or a dog's sound
BARN|Where the hay is
BASE|Foundation
BASH|Big party
BASS|Deep voice, or a fish
BATH|Where the tub is
BEAD|Necklace bit
BEAK|Bird's bill
BEAM|Ray, or a big smile
BEAN|Coffee unit
BEAR|Woods bruin
BEAT|Rhythm
BEEF|Steak source
BEEN|Have
BEER|Pint of it
BELL|It rings
BELT|Waist strap
BEND|Curve
BENT|Not straight
BEST|Top of the lot
BIKE|Two-wheeler
BILL|Invoice
BIND|Tie up
BIRD|Feathered flier
BITE|Take a chunk
BLED|Lost blood
BLEW|Puffed
BLOB|Shapeless lump
BLOC|Voting group
BLOT|Ink spill
BLOW|Gust
BLUE|Sky color
BLUR|Out of focus
BOAR|Wild pig
BOAT|Water craft
BODY|Head to toe
BOIL|Bring to bubbling
BOLD|Daring
BOLT|Nut's partner
BOMB|Explosive
BOND|Tie between them
BONE|Skeleton part
BOOK|Novel
BOOM|Loud blast, or a growth spurt
BOOT|Ankle footwear
BORE|Dull one
BORN|Brought into the world
BOSS|The one in charge
BOTH|The two of them
BOWL|Cereal holder
BRAG|Show off
BRAN|Cereal fiber
BRAT|Spoiled child
BREW|Make the tea
BRIM|Hat's edge
BROW|Above the eye
BUCK|Male deer, or a dollar
BULB|Light fitting
BULK|Sheer mass
BULL|Rodeo beast
BUMP|Road jolt
BUNK|Ship's bed
BURN|Set alight
BURY|Put underground
BUSH|Garden shrub
BUSY|Not free
CAFE|Coffee shop
CAGE|Bird's home
CAKE|Birthday bake
CALF|Young cow
CALL|Ring up
CALM|Peaceful
CAME|Arrived
CAMP|Tents and a fire
CANE|Walking stick
CAPE|Superhero wear
CARD|Birthday sender
CARE|Look after
CARP|Pond fish, or complain
CART|Shopping trolley
CASE|Suitcase, or the detective's job
CASH|Notes and coins
CAST|Play's actors
CAVE|Underground hollow
CELL|Prison room
CENT|Penny
CHAT|Natter
CHEF|Kitchen boss
CHEW|Work with the teeth
CHIC|Stylish
CHIN|Below the mouth
CHIP|Fish's partner
CHOP|Lamb cut, or cut down
CITE|Quote as evidence
CITY|Urban center
CLAD|Dressed
CLAM|Beach digger's find
CLAN|Highland family
CLAP|Applaud
CLAW|Cat's nail
CLAY|Potter's material
CLEF|Music's key sign
CLIP|Paper fastener
CLOG|Wooden shoe, or block up
CLUB|Golf swinger
CLUE|Detective's lead
COAL|Miner's find
COAT|Winter wear
CODE|Secret writing
COIL|Wound rope
COIN|Pocket change
COLD|Not hot
COLT|Young horse
COMB|Hair tidier
COME|Approach
COOK|Kitchen worker
COOL|Slightly cold
COPE|Manage
COPY|Duplicate
CORD|Length of rope
CORE|Apple's middle
CORK|Bottle stopper
CORN|Cob's crop
COST|Price
COVE|Small bay
CRAB|Sideways scuttler
CREW|Ship's staff
CRIB|Baby's bed
CROP|Field's yield
CROW|Black cawer
CUBE|Six-sided solid
CUFF|Sleeve's end
CULT|Devoted following
CURB|Street edge, or hold back
CURE|Remedy
CURL|Hair twist
CUTE|Adorable
DAME|Titled lady
DARE|Double
DARK|Not light
DARN|Mend a sock
DART|Board thrower
DASH|Quick run
DATA|Information
DATE|Calendar day
DAWN|Break of day
DAZE|Stunned state
DEAF|Unable to hear
DEAL|Handshake agreement
DEAN|College officer
DEAR|Beloved, or costly
DEBT|What you owe
DECK|Ship's floor
DEED|Act, or a property paper
DEEP|Far down
DEER|Bambi
DENT|Fender ding
DENY|Say it isn't so
DESK|Office table
DIAL|Phone's old face
DICE|Board game cubes
DIET|Watch what you eat
DIME|Ten cents
DINE|Have dinner
DIRT|Soil
DISC|Round plate
DISH|Plate
DIVE|Pool plunge
DOCK|Where the boat ties up
DOLL|Toy figure
DOME|Rounded roof
DONE|Finished
DOOM|Grim fate
DOOR|Way in
DOSE|Medicine measure
DOVE|Peace bird
DOWN|Not up
DOZE|Light sleep
DRAG|Haul along
DRAW|Sketch
DREW|Sketched
DRIP|Tap's fault
DROP|Let fall
DRUM|Beat it
DUCK|Pond quacker
DUEL|Pistols at dawn
DUET|Two-part song
DULL|Not sharp
DUMP|Tip it out
DUSK|End of daylight
DUST|Shelf's coating
DUTY|What you must do
EACH|Every one
EARL|British noble
EARN|Work for it
EASE|Comfort
EAST|Sunrise direction
EASY|No trouble
ECHO|Canyon reply
EDGE|Rim
EDIT|Blue-pencil
ELSE|Otherwise
EMIT|Give off
ENVY|Green-eyed feeling
EPIC|Long tale
EVEN|Not odd
EVER|At any time
EVIL|Wickedness
EXAM|Test
EXIT|Way out
FACE|Front of the head
FACT|Not opinion
FADE|Grow dim
FAIL|Not pass
FAIR|Just, or a carnival
FAKE|Not genuine
FALL|Autumn
FAME|Being known
FARE|Bus cost
FARM|Fields and a barn
FAST|Quick
FATE|What is destined
FAWN|Baby deer
FEAR|Fright
FEAT|Impressive act
FEED|Give food to
FEEL|Touch
FELL|Dropped
FELT|Sensed
FERN|Shady plant
FEUD|Family quarrel
FILE|Cabinet folder
FILL|Top it up
FILM|Movie
FIND|Locate
FINE|Penalty, or all right
FIRE|Flames
FIRM|Solid, or a company
FISH|Angler's catch
FIST|Closed hand
FLAG|Pole flier
FLAP|Wings' action
FLAT|Level
FLAW|Imperfection
FLEA|Dog's pest
FLED|Ran off
FLEE|Run away
FLEW|Went by air
FLIP|Turn over
FLOW|Stream's motion
FOAL|Baby horse
FOAM|Bubbly froth
FOIL|Kitchen wrap, or thwart
FOLD|Crease
FOLK|People
FOND|Rather keen on
FOOD|What you eat
FOOL|Silly one
FOOT|Twelve inches
FORD|Shallow crossing
FORE|Golfer's shout
FORK|Table utensil
FORM|Shape, or a document
FORT|Stronghold
FOUL|Referee's call
FOUR|Quartet
FOWL|Barnyard bird
FREE|At no cost
FROG|Lily pad hopper
FROM|Starting at
FUEL|What the tank holds
FULL|No more room
FUND|Money pool
FUSE|Box in the cellar
FUSS|Big to-do
GAIN|Increase
GAIT|Way of walking
GALE|Strong wind
GAME|Match
GANG|Street group
GAPE|Stare open-mouthed
GATE|Garden entry
GAVE|Handed over
GAZE|Long look
GEAR|Equipment
GENE|Heredity unit
GERM|Bug that makes you ill
GIFT|Present
GILL|Fish's breather
GIRL|Young lady
GIVE|Hand over
GLAD|Pleased
GLEE|Sheer delight
GLOW|Soft light
GLUE|Sticky stuff
GOAL|What you aim for
GOAT|Billy
GOES|Departs
GOLD|First-place metal
GOLF|Course sport
GONE|Departed
GOOD|Not bad
GOWN|Formal dress
GRAB|Snatch
GRAD|One who finished school
GRAM|Metric weight
GRAY|Between black and white
GREW|Got bigger
GRID|Crossword's shape
GRIM|Bleak
GRIN|Wide smile
GRIP|Firm hold
GROW|Get bigger
GULF|Big bay
GULL|Seaside bird
GUSH|Pour out
HAIL|Icy rain
HAIR|Head covering
HALF|Fifty percent
HALL|Entry corridor
HALT|Stop
HAND|Five fingers
HANG|Suspend
HARD|Tough
HARE|Fast long-eared runner
HARM|Damage
HARP|Angel's instrument
HASH|Diner potatoes
HAUL|Drag along
HAVE|Possess
HAWK|Sharp-eyed hunter
HAZE|Light mist
HEAD|Top of the body
HEAL|Get better
HEAP|Big pile
HEAR|Listen to
HEAT|Warmth
HEED|Pay attention to
HEEL|Back of the foot
HEIR|One who inherits
HELD|Kept hold of
HELL|The other place
HELM|Ship's wheel
HELP|Lend a hand
HERB|Basil or thyme
HERD|Cattle group
HERE|In this place
HERO|The one who saves the day
HIDE|Conceal
HIGH|Up there
HIKE|Country walk
HILL|Small rise
HINT|Little clue
HIRE|Take on
HIVE|Bee's home
HOLD|Grip
HOLE|Golf target
HOLY|Sacred
HOME|Where the heart is
HOOD|Car's front lid
HOOF|Horse's foot
HOOK|Coat hanger on the wall
HOOP|Basketball's ring
HOPE|What springs eternal
HORN|Car's honker
HOSE|Garden waterer
HOST|Party giver
HOUR|Sixty minutes
HUGE|Enormous
HULL|Ship's body
HUNG|Suspended
HUNT|Search
HURL|Throw hard
HURT|Cause pain
HUSH|Quiet
HYMN|Church song
ICON|Screen symbol
IDEA|Brainwave
IDLE|Doing nothing
INCH|Twelfth of a foot
INTO|Toward the inside
IRON|Press the shirt
ITCH|Scratch's cause
ITEM|One thing on the list
JADE|Green stone
JAIL|Lockup
JAZZ|Bebop music
JEEP|Off-road vehicle
JOIN|Become a member
JOKE|Punchline's setup
JOLT|Sudden shock
JUDO|Throwing martial art
JULY|Fourth month of summer's start
JUMP|Leap
JUNE|Month of weddings
JURY|Twelve in the box
JUST|Only, or fair
KEEN|Very eager
KEEP|Hold on to
KELP|Sea plant
KEPT|Held on to
KICK|Boot it
KILN|Pottery oven
KIND|Nice, or a sort
KING|Crown wearer
KISS|Peck
KITE|String flier
KNEE|Leg joint
KNEW|Was aware
KNIT|Work with wool
KNOB|Door handle
KNOT|Tied loop
KNOW|Be aware of
LACE|Shoe string
LACK|Be short of
LADY|Gentlewoman
LAID|Put down
LAIR|Beast's den
LAKE|Inland water
LAMB|Spring baby on the farm
LAME|Limping
LAMP|Table light
LAND|Terra firma
LANE|Narrow road
LARD|Cooking fat
LARK|Morning singer, or a bit of fun
LASH|Whip stroke
LAST|Final
LATE|Not on time
LAWN|Grass to mow
LAZY|Not inclined to bother
LEAD|Go first
LEAF|Tree's green
LEAK|Drip from the pipe
LEAN|Not fat, or tilt
LEAP|Jump
LEFT|Not right
LEND|Loan out
LENS|Camera's glass
LESS|Not as much
LEVY|Impose a tax
LIAR|Not a truth teller
LICK|Ice cream action
LIFE|Existence
LIFT|Raise
LIKE|Be fond of
LIME|Green citrus
LIMP|Uneven walk
LINE|Queue
LINK|Chain part
LION|King of beasts
LIST|Things to do
LIVE|Not recorded
LOAD|Cargo
LOAF|Bread unit
LOAN|Borrowed money
LOCK|Key's partner
LOFT|Attic
LOGO|Brand mark
LONE|All by itself
LONG|Not short
LOOK|Take a peek
LOOM|Weaving frame
LOOP|Circle of rope
LORD|Titled gentleman
LOSE|Not win
LOSS|Defeat
LOST|Not found
LOUD|Noisy
LOVE|Tennis zero, or deep affection
LUCK|Fortune
LUMP|Sugar cube
LUNG|Breathing organ
LURE|Fishing bait
LUSH|Green and thick
MADE|Created
MAID|House helper
MAIL|Postal delivery
MAIN|Chief
MAKE|Build
MALE|Not female
MALL|Shopping center
MALT|Milkshake kind
MANY|A lot of
MARE|Female horse
MARK|Spot
MASH|Potato dish
MASK|Halloween face
MAST|Sail holder
MATE|Chess ending, or a friend
MATH|Numbers subject
MAZE|Hedge puzzle
MEAL|Breakfast, say
MEAN|Nasty, or signify
MEAT|Butcher's goods
MEET|Encounter
MELT|Turn to liquid
MEMO|Office note
MEND|Repair
MENU|What the waiter brings
MERE|Only
MESH|Net's fabric
MESS|Untidy state
MICE|Cheese nibblers
MILD|Not spicy
MILE|Five thousand two hundred eighty feet
MILK|Dairy drink
MILL|Where the grain is ground
MIME|Silent performer
MIND|Brain's work
MINE|Coal source
MINT|Fresh herb, or where coins are made
MIST|Fine fog
MITE|Tiny bug
MOAN|Groan
MOAT|Castle's ditch
MOCK|Make fun of
MODE|Manner
MOLD|Cheese's fuzz
MOLE|Garden burrower
MONK|Monastery man
MOOD|Frame of mind
MOON|Night's light
MOOR|Open heath
MORE|A greater amount
MOSS|Damp green growth
MOST|The greatest number
MOTH|Lamp circler
MOVE|Shift
MUCH|A lot
MULE|Stubborn hybrid
MUTE|Silent
MYTH|Old tale
NAIL|Hammer's target
NAME|What you're called
NAVY|Sea force
NEAR|Close by
NEAT|Tidy
NECK|Head's support
NEED|Must have
NEST|Bird's home
NEWS|Headlines
NEXT|Following
NICE|Pleasant
NINE|Baseball team size
NODE|Network point
NONE|Not any
NOON|Midday
NOSE|Smeller
NOTE|Short message
NOUN|Person, place or thing
NUMB|Without feeling
OATH|Solemn promise
OBEY|Do as told
ODDS|Bookmaker's numbers
ONCE|One time
ONLY|Just the one
ONTO|Up on
OPAL|Iridescent gem
OPEN|Not shut
ORAL|Spoken
OVAL|Egg shape
OVEN|Where you bake
OVER|Finished
OWED|Was in debt
OWNS|Possesses
PACE|Walking speed
PACK|Fill the case
PACT|Agreement
PAGE|Book's leaf
PAID|Settled up
PAIL|Bucket
PAIN|Hurt
PAIR|Two
PALE|Washed out
PALM|Hand's inside, or a beach tree
PANE|Window glass
PANG|Sudden twinge
PANT|Breathe hard
PARK|Where the swings are
PART|Piece
PASS|Go by
PAST|Days gone by
PATH|Walking way
PAVE|Lay the road
PAWN|Chess's smallest
PEAK|Mountain top
PEAR|Bell-shaped fruit
PEAT|Bog fuel
PECK|Bird's tap
PEEL|Take the skin off
PEER|Look closely
PELT|Animal skin
PERK|Job's extra
PEST|Nuisance
PICK|Choose
PIER|Seaside walkway
PILE|Heap
PILL|Tablet
PINE|Evergreen
PINK|Rose color
PINT|Two cups
PIPE|Plumber's tube
PITY|Feel sorry
PLAN|What you work out
PLAY|Have fun
PLEA|Earnest request
PLOT|Story's line
PLOW|Field turner
PLUG|Socket filler
PLUM|Purple stone fruit
PLUS|And
POEM|Verse
POET|Verse writer
POLE|Flag's staff
POLL|Survey
POND|Duck water
PONY|Small horse
POOL|Swimming spot
POOR|Not well off
PORE|Skin opening
PORK|Pig meat
PORT|Harbor
POSE|Model's stance
POST|Mail, or a pole
POUR|Tip it out
POUT|Sulk with the lips
PRAY|Say your prayers
PREY|The hunted
PROP|Support
PUFF|Little breath
PULL|Tug
PUMP|Tire inflater
PUNT|Kick, or a flat boat
PURE|Unmixed
PUSH|Shove
QUIT|Give up
QUIZ|Test of knowledge
RACE|Sprint
RACK|Coat holder
RAFT|Floating platform
RAGE|Fury
RAID|Sudden attack
RAIL|Train track
RAIN|Wet weather
RAKE|Leaf gatherer
RAMP|Slope up
RANG|Sounded the bell
RANK|Position in order
RANT|Angry speech
RARE|Not common
RASH|Skin outbreak, or hasty
RATE|Speed
RAVE|Gush about
READ|Take in the page
REAL|Genuine
REAP|Harvest
REAR|Back
REED|Marsh grass
REEF|Coral ridge
REEL|Fishing spool
REIN|Horse's strap
RELY|Depend
RENT|Monthly payment
REST|Take a break
RICE|Grain with the curry
RICH|Well off
RIDE|Take the bus
RIFT|Split between them
RILE|Wind up
RIND|Cheese's edge
RING|Bell's sound
RINK|Skating surface
RIOT|Street disorder
RIPE|Ready to eat
RISE|Get up
RISK|Chance of loss
ROAD|Where you drive
ROAM|Wander
ROAR|Lion's sound
ROBE|Bathrobe
ROCK|Stone
RODE|Sat astride
ROLE|Actor's part
ROLL|Bread bun
ROOF|House's top
ROOM|Space
ROOT|Underground part
ROPE|Thick cord
ROSE|Thorny bloom
ROVE|Wander about
RUDE|Bad-mannered
RUIN|Wreck
RULE|Regulation
RUNG|Ladder step
RUSH|Hurry
RUST|Iron's orange decay
SAFE|Out of danger
SAGE|Wise one, or the herb
SAID|Uttered
SAIL|Boat's canvas
SAKE|For heaven's
SALE|Discount event
SALT|Pepper's partner
SAME|Not different
SAND|Beach grains
SANE|Of sound mind
SANG|Carried the tune
SANK|Went under
SASH|Window frame, or a waist band
SAVE|Rescue
SCAN|Look over quickly
SCAR|Old wound's mark
SEAL|Arctic swimmer, or close it up
SEAM|Where two cloths join
SEAT|Chair
SEED|What you plant
SEEK|Look for
SEEM|Appear
SEEN|Laid eyes on
SELF|Your own person
SELL|Trade for money
SEND|Post it
SENT|Dispatched
SHED|Garden hut
SHIN|Below the knee
SHIP|Ocean vessel
SHOE|Foot wear
SHOP|Where you buy
SHOT|Fired
SHOW|Put on display
SHUT|Close
SICK|Unwell
SIDE|Flank
SIFT|Put through a sieve
SIGH|Weary breath
SIGN|Road marker
SILK|Smooth fabric
SILL|Below the window
SING|Carry a tune
SINK|Kitchen basin
SITE|Building plot
SIZE|How big
SKID|Slide on ice
SKIN|Body's cover
SKIP|Miss out
SLAB|Thick slice
SLAM|Shut hard
SLAP|Open-handed hit
SLED|Snow rider
SLEW|Great number
SLID|Slipped along
SLIM|Thin
SLIP|Lose your footing
SLOT|Machine's coin gap
SLOW|Not fast
SLUG|Garden pest
SNAP|Break with a crack
SNOW|Winter fall
SOAK|Steep in water
SOAP|Bath bar
SOAR|Fly high
SOCK|Foot wear
SODA|Fizzy drink
SOFA|Living room seat
SOFT|Not hard
SOIL|Garden earth
SOLD|Went for a price
SOLE|Shoe's bottom, or the only one
SOLO|On your own
SOME|A few
SONG|Tune with words
SOON|Before long
SORE|Aching
SORT|Kind
SOUL|Spirit
SOUP|Bowl starter
SOUR|Like a lemon
SPAN|Bridge's reach
SPAR|Box for practice
SPIN|Whirl
SPIT|Roasting rod
SPOT|Dot, or find
SPUN|Whirled
STAB|Sharp thrust
STAG|Male deer
STAR|Night sky twinkler
STAY|Remain
STEM|Flower's stalk
STEP|Stair
STEW|Slow-cooked dish
STIR|Give it a mix
STOP|Halt
STOW|Put away
SUCH|Of that kind
SUIT|Business wear
SUNG|Carried the tune
SUNK|Went down
SURE|Certain
SURF|Wave rider's sport
SWAM|Did laps
SWAN|Graceful white bird
SWAP|Trade
SWAY|Rock side to side
SWIM|Take a dip
SWUM|Done laps
TACK|Small nail
TAIL|Dog's wagger
TAKE|Grab
TALE|Story
TALK|Chat
TALL|High up
TAME|Not wild
TANK|Fish's home
TAPE|Sticky roll
TASK|Job to do
TAUT|Pulled tight
TEAM|Side
TEAR|Rip, or an eye's drop
TELL|Let them know
TEND|Look after
TENT|Camper's shelter
TERM|School stretch
TEST|Exam
TEXT|Message
THAN|Comparison word
THAT|The other one
THAW|Ice's melt
THEM|Those people
THEN|At that time
THEY|Those folks
THIN|Not thick
THIS|The near one
THUD|Dull sound
THUS|Therefore
TICK|Clock's sound
TIDE|Sea's rise and fall
TIDY|Neat
TILE|Bathroom square
TILL|Cash drawer
TILT|Lean over
TIME|Clock's measure
TINY|Very small
TIRE|Wheel's rubber
TOAD|Warty hopper
TOIL|Hard work
TOLD|Let them know
TOLL|Bridge fee
TOMB|Burial chamber
TONE|Musical quality
TOOK|Grabbed
TOOL|Hammer or saw
TORE|Ripped
TORN|Ripped
TOSS|Light throw
TOUR|Sightseeing trip
TOWN|Smaller than a city
TRAP|Snare
TRAY|Serving board
TREE|Oak or elm
TRIM|Cut back
TRIO|Threesome
TRIP|Journey
TROT|Horse's gait
TRUE|Not false
TUBA|Big brass
TUBE|Cylinder
TUCK|Fold in
TUNA|Sandwich fish
TUNE|Melody
TURF|Grass
TURN|Your go
TWIG|Little branch
TWIN|One of two identical
TYPE|Sort
UGLY|Not pretty
UNDO|Reverse it
UNIT|One of the set
UPON|On top of
URGE|Strong impulse
USED|Second-hand
USER|One who uses it
VAIN|Full of yourself
VALE|Poetic valley
VAST|Enormous
VEAL|Young beef
VEIL|Bride's cover
VEIN|Blood vessel
VENT|Air outlet
VERB|Action word
VERY|Extremely
VEST|Sleeveless top
VIEW|What you see
VINE|Grape's climber
VISA|Travel stamp
VOID|Empty space
VOTE|Cast a ballot
WADE|Walk through water
WAGE|Weekly pay
WAIL|Loud cry
WAIT|Hang on
WAKE|Get up
WALK|Go on foot
WALL|Room's side
WAND|Magician's stick
WANE|Fade away
WANT|Desire
WARD|Hospital room
WARM|Nicely heated
WARN|Give notice of danger
WARP|Bend out of shape
WART|Skin bump
WASH|Clean up
WASP|Yellow stinger
WAVE|Hand greeting
WEAK|Not strong
WEAR|Have on
WEED|Garden intruder
WEEK|Seven days
WEEP|Cry
WELL|Water source
WENT|Departed
WEPT|Cried
WERE|Used to be
WEST|Sunset direction
WHAT|Which thing
WHEN|At what time
WHIP|Cream's treatment
WHIZ|Real expert
WHOM|Which person, formally
WIDE|Broad
WIFE|Married woman
WILD|Untamed
WILL|Testament
WILT|Droop
WIND|Breeze
WINE|Grape drink
WING|Bird's flier
WINK|Quick eye close
WIPE|Clean off
WIRE|Electric line
WISE|Full of good sense
WISH|Birthday candle thought
WITH|Alongside
WOKE|Got up
WOLF|Pack howler
WOOD|Lumber
WOOL|Sheep's coat
WORD|Vocabulary unit
WORE|Had on
WORK|Job
WORM|Bait wriggler
WORN|Used up
WRAP|Cover in paper
YARD|Three feet
YARN|Knitting thread, or a tale
YAWN|Sleepy gape
YEAR|Twelve months
YELL|Shout
YOGA|Mat exercise
ZERO|Nothing
ZONE|Area
ZOOM|Rush past
#
# ── 5 letters ──────────────────────────────────────────────────────
ABIDE|Put up with
ABORT|Call it off
ABOUT|Roughly
ABOVE|Overhead
ABUSE|Mistreat
ACORN|Oak's seed
ACRID|Sharp and bitter to smell
ACTOR|Stage performer
ACUTE|Sharp, of an angle
ADAPT|Adjust to fit
ADEPT|Really good at it
ADMIT|Own up
ADOBE|Sun-dried brick
ADOPT|Take as your own
ADORE|Love dearly
ADULT|Grown-up
AFTER|Following
AGAIN|One more time
AGENT|Actor's rep
AGILE|Quick on the feet
AGREE|See eye to eye
AHEAD|In front
AISLE|Between the pews
ALARM|Morning ringer
ALBUM|Record, or photo book
ALERT|On the lookout
ALIAS|Assumed name
ALIBI|Where you were at the time
ALIEN|From another world
ALIGN|Line it up
ALIKE|The same
ALIVE|Not dead
ALLEY|Narrow back lane
ALLOT|Hand out shares
ALLOW|Permit
ALLOY|Metal mixture
ALONE|By yourself
ALONG|Beside
ALOOF|Standoffish
ALOUD|Out loud
ALTAR|Church's front table
ALTER|Change
AMAZE|Astonish
AMBER|Traffic light's middle
AMEND|Change the wording
AMPLE|More than enough
AMUSE|Entertain
ANGEL|Winged helper
ANGER|Rage
ANGLE|Ninety degrees, for one
ANGRY|Cross
ANKLE|Above the foot
ANNEX|Building add-on
ANNOY|Get on the nerves of
APART|Separated
APPLE|Orchard fruit
APPLY|Put in for the job
APRON|Cook's cover
ARENA|Where the crowd sits
ARGUE|Have words
ARISE|Get up
ARMOR|Knight's suit
AROMA|Nice smell
AROSE|Got up
ARRAY|Whole display of them
ARROW|Bow's ammunition
ASIDE|Off to one side
ASSET|Something worth having
ATLAS|Book of maps
ATTIC|Under the roof
AUDIO|Sound part
AUDIT|Books check
AVERT|Head it off
AVOID|Keep clear of
AWAIT|Wait for
AWARD|Prize
AWARE|Clued in
AWFUL|Terrible
BACON|Breakfast strips
BADGE|Sheriff's star
BADLY|Not well
BAGEL|Ring of bread
BAKED|Done in the oven
BAKER|Bread maker
BALMY|Pleasantly warm
BANJO|Bluegrass string
BARGE|Canal boat
BARON|Titled man
BASIC|Nothing fancy
BASIL|Pesto herb
BASIN|Bathroom bowl
BASIS|Foundation
BATCH|Cookies made at once
BATHE|Take a dip
BATON|Relay stick
BEACH|Sand and sea
BEADS|Necklace bits
BEARD|Chin growth
BEAST|Wild animal
BEGAN|Started
BEGIN|Make a start
BEGUN|Started
BEING|Existing
BELCH|Burp
BELLY|Tummy
BELOW|Underneath
BENCH|Park seat
BERET|French cap
BERRY|Small juicy fruit
BERTH|Ship's bed
BESET|Troubled on all sides
BIBLE|Good Book
BIRCH|White-barked tree
BIRTH|Coming into the world
BISON|Plains buffalo
BLACK|Coal color
BLADE|Knife's edge
BLAME|Point the finger
BLAND|No flavor
BLANK|Nothing filled in
BLAST|Explosion
BLAZE|Roaring fire
BLEAK|Grim and bare
BLEED|Lose blood
BLEND|Mix together
BLESS|Say it after a sneeze
BLIND|Unable to see
BLINK|Quick eye shut
BLISS|Perfect happiness
BLOCK|City square, or obstruct
BLOND|Fair-haired
BLOOD|What runs in the veins
BLOOM|Come into flower
BLOWN|Puffed away
BLUFF|Poker pretense
BLUNT|Not sharp
BLUSH|Go red
BOARD|Plank, or get on
BOAST|Brag
BONUS|Extra payment
BOOTH|Diner seat
BOOTS|Wellies
BOOTY|Pirate's haul
BOSSY|Always giving orders
BOUND|Tied, or headed for
BOWEL|Gut
BOXER|Ring fighter, or a dog
BRACE|Support, or a pair
BRAID|Plait
BRAIN|Thinking organ
BRAKE|Pedal that stops you
BRAND|Maker's name
BRASS|Trumpet's metal
BRAVE|Facing it down
BRAWL|Pub fight
BREAD|Loaf
BREAK|Snap
BREED|Kind of dog
BRIBE|Money under the table
BRICK|Wall unit
BRIDE|Wedding star
BRIEF|Short
BRINE|Salt water
BRING|Fetch along
BRINK|The very edge
BRISK|Quick and lively
BROAD|Wide
BROIL|Cook under the flame
BROKE|Out of money
BROOD|Sulk, or a hen's young
BROOK|Little stream
BROOM|Sweeper
BROTH|Thin soup
BROWN|Chocolate color
BRUSH|Paint applier
BRUTE|Rough one
BUDGE|Move an inch
BUGGY|Baby carriage
BUILD|Construct
BUILT|Constructed
BULKY|Awkwardly big
BULLY|Playground menace
BUNCH|Grapes group
BURLY|Big and strong
BURNT|Charred
BURST|Pop
BUYER|The one purchasing
CABIN|Log house
CABLE|Thick wire
CACHE|Hidden store
CADET|Trainee officer
CAGEY|Not giving much away
CAMEL|Desert humps
CAMEO|Small role
CANAL|Man-made waterway
CANDY|Sweets
CANOE|Paddled craft
CANON|Accepted body of work
CAPER|Prank, or a pickled bud
CARAT|Gold's measure
CARGO|Ship's freight
CAROL|Christmas song
CARRY|Take along
CARVE|Cut the turkey
CATCH|Grab it
CATER|Supply the food
CAUSE|The reason for it
CEASE|Stop
CEDAR|Fragrant wood
CELLO|Big bowed string
CHAFE|Rub raw
CHAIN|Links
CHAIR|Seat
CHALK|Blackboard stick
CHAMP|Title holder
CHANT|Crowd's repeated call
CHAOS|Total disorder
CHARM|Winning quality
CHART|Graph
CHASE|Pursue
CHASM|Deep gulf
CHEAP|Not dear
CHEAT|Break the rules
CHECK|Look it over
CHEEK|Face's side
CHEER|Crowd's shout
CHESS|Board of kings
CHEST|Trunk, or the ribcage
CHEWY|Like toffee
CHICK|Young bird
CHIEF|The boss
CHILD|Youngster
CHILI|Spicy bowl
CHILL|Cool it down
CHIME|Bell's ring
CHINA|Fine crockery
CHIRP|Bird's note
CHOIR|Church singers
CHOKE|Can't breathe
CHORD|Three notes at once
CHORE|Household task
CHOSE|Picked
CHUNK|Big piece
CHURN|Butter maker
CIDER|Apple drink
CIGAR|Havana's export
CINCH|Dead easy
CIVIC|Of the town
CIVIL|Polite, or non-military
CLAIM|Insurance filing
CLAMP|Workbench gripper
CLANG|Metal's sound
CLASH|Come into conflict
CLASP|Necklace fastener
CLASS|School group
CLEAN|Spotless
CLEAR|See-through
CLERK|Office worker
CLICK|Mouse sound
CLIFF|Sheer drop
CLIMB|Go up
CLING|Hold on tight
CLINK|Glasses' sound
CLOAK|Cape
CLOCK|Wall timekeeper
CLONE|Exact copy
CLOSE|Shut
CLOTH|Fabric
CLOUD|Sky puff
CLOUT|Influence
CLOWN|Circus face
CLUMP|Small tight group
CLUNG|Held on
COACH|Team's boss
COAST|Shoreline
COBRA|Hooded snake
