ABANDON|Leave behind
CIRCLE|Round shape
CIRCUS|Big top show
CITIES|Urban areas
CITRUS|Orange or lemon
CLAIMS|Assertions
CLASSY|With real style
CLAUSE|Part of a contract
CLERKS|Store staff
CLEVER|Quick-witted
CLIENT|Customer
CLIMAX|The high point
CLIMBS|Goes up
CLINIC|Walk-in medical office
CLOCKS|Time tellers
CLOSED|Shut
CLOSER|Nearer
CLOSET|Where the clothes hang
CLOUDS|Sky puffs
CLOUDY|Overcast
CLOVER|Four-leaf luck
CLUMSY|All thumbs
CLUTCH|Grab tightly
COARSE|Rough
COBWEB|Attic strand
COCOON|Caterpillar wrap
COFFEE|Morning cup
COFFIN|Funeral box
COLDER|More chilly
COLLAR|Shirt's neckband
COLONY|Settlement
COLUMN|Pillar, or a newspaper feature
COMBAT|Fighting
COMEDY|It should get laughs
COMICS|Sunday funnies
COMMON|Ordinary
COMPLY|Go along with rules
CONVEY|Get across
COOKIE|Chocolate chip treat
COOLER|Ice chest
COPIED|Duplicated
COPIES|Reproductions
COPPER|Penny metal
CORNER|Where two streets meet
CORPSE|Dead body
CORRAL|Fenced pen for horses
CORSET|Laced undergarment
COSMIC|Of the whole universe
COSTLY|Expensive
COTTON|Shirt fiber
COUGAR|Mountain lion
COUNTS|Tallies
COUNTY|Region with a seat
COUPLE|Two of them
COUPON|Clip it and save
COURSE|Golf layout, or a class
COURTS|Tennis venues
COUSIN|Aunt's child
COVERS|Blankets
COWBOY|Rodeo rider
COYOTE|Desert howler
CRADLE|Baby's rocker
CRATER|Hole a meteor makes
CRAYON|Waxy colorer
CREAMY|Smooth as custard
CREASE|Fold line
CREATE|Make from nothing
CREDIT|Where it is due
CRISIS|Emergency
CRISPY|Crunchy
CRITIC|The one who pans it
CROUCH|Get low on the haunches
CROWDS|Packed masses
CROWNS|Royal headgear
CRUISE|Ship holiday
CRUMBS|What the toast leaves
CRUNCH|Sound of a fresh apple
CRUTCH|Sprained-ankle support
CURFEW|Be home by then
CURSOR|Blinking screen marker
CURVED|Bent
CUSTOM|The way it is always done
CUTTER|Sharp tool
CYCLES|Goes round again
CYMBAL|Crashing disc
DAGGER|Short blade
DAINTY|Delicate
DAMAGE|Harm done
DAMPEN|Make slightly wet
DANCER|Ballroom performer
DANGER|Watch out
DARING|Bold
DARKEN|Dim
DATING|Seeing someone
DEALER|Card handler
DEBATE|Argument with rules
DEBRIS|Wreckage
DEBTOR|One who owes
DECADE|Ten years
DECEIT|Deliberate lying
DECENT|Good enough, and honest
DECIDE|Make the call
DECODE|Work out the secret message
DECREE|Official order
DEDUCT|Subtract
DEEPEN|Make lower
DEFEAT|A loss
DEFECT|Flaw
DEFEND|Stand up for
DEFINE|Say what it means
DEGREE|Temperature unit, or a diploma
DELAYS|Airport board bad news
DELETE|Wipe it out
DELUXE|The fancy version
DEMAND|Insist on
DENIAL|Refusal to admit it
DENOTE|Stand for
DENTAL|Of the teeth
DEPART|Leave
DEPEND|Rely
DEPICT|Portray
DEPLOY|Send out
DEPUTY|Sheriff's second
DESERT|Sahara, for one
DESIGN|Plan for how it looks
DESIRE|Strong wanting
DETAIL|Small particular
DETECT|Pick up on
DETEST|Loathe
DEVICE|Gadget
DEVISE|Think up
DEVOUR|Wolf down
DIAPER|Baby's wrap
DIESEL|Truck fuel
DIFFER|Not agree
DIGEST|Break down a meal
DIGITS|Numerals
DIMPLE|Cheek indent
DINERS|Roadside eateries
DINNER|The evening meal
DIRECT|Point the way, or straight
DISARM|Take away the weapons
DISHES|Plates and bowls
DISMAY|Sinking feeling
DIVERT|Turn aside
DIVIDE|Split up
DIVINE|Heavenly
DOCTOR|The one with the stethoscope
DOLLAR|Hundred cents
DOMAIN|Territory
DONATE|Give to charity
DONKEY|Long-eared beast of burden
DOODLE|Idle sketch
DOTTED|Speckled
DOUBLE|Twice as much
DOUBTS|Second thoughts
DOZENS|Many sets of twelve
DRAFTS|Rough versions
DRAGON|Fire-breather of legend
DRAINS|Sink holes
DRAPES|Window hangings
DRAWER|Pull-out compartment
DREAMS|What sleep brings
DREAMY|Like a reverie
DRINKS|Beverages
DRIVEN|Motivated
DRIVER|Golf club, or the one at the wheel
DROWSY|Sleepy
DUGOUT|Bench area at a ballpark
DUPLEX|Two-home building
DURING|Throughout
EARNED|Worked for it
EARTHY|Like rich soil
EASIER|Less trouble
EASILY|Without trouble
EATERY|Diner
EDIBLE|Safe to eat
EDITOR|The one with the red pen
EFFECT|What the cause produces
EFFORT|The trying part
EIGHTH|Between seventh and ninth
EIGHTY|Four score
EITHER|One or the other
ELAPSE|Go by, as time
ELBOWS|Arm joints
ELDEST|First-born
ELEVEN|Football team size
ELIXIR|Magic potion
EMBERS|What the fire leaves
EMBLEM|Badge or symbol
EMERGE|Come out
EMPIRE|What Rome had
EMPLOY|Put on the payroll
ENABLE|Make it possible
ENAMEL|Tooth coating
ENCASE|Surround completely
ENCODE|Put into cipher
ENCORE|One more song
ENDING|How the story finishes
ENDURE|Put up with
ENERGY|What the battery holds
ENGAGE|Draw into it
ENGINE|Under the hood
ENIGMA|Riddle
ENLIST|Sign up
ENOUGH|No more needed
ENRICH|Make fuller
ENROLL|Register for class
ENSURE|Make certain of
ENTAIL|Involve
ENTIRE|The whole thing
EQUALS|Is the same as
EQUATE|Treat as alike
ERASER|Pencil end
ERRAND|Quick trip to the shop
ERRORS|Mistakes
ESCAPE|Get out
ESCORT|Accompany
ESTATE|Grand house and grounds
ETHICS|Moral code
EULOGY|Funeral speech
EVENLY|Fair shares all round
EVENTS|Things on the calendar
EVOLVE|Develop slowly
EXCEED|Go over the limit
EXCEPT|Other than
EXCESS|More than needed
EXCITE|Get someone worked up
EXCUSE|The dog ate my homework, e.g.
EXEMPT|Let off
EXHALE|Breathe out
EXOTIC|From somewhere far away
EXPAND|Get bigger
EXPECT|Count on it
EXPERT|The one who knows
EXPIRE|Run out of date
EXPORT|Ship it abroad
EXPOSE|Bring to light
EXTEND|Stretch out further
EXTENT|How far it goes
EXTRAS|Bonus items
EYELID|Blinking cover
FABRIC|Bolt at the cloth shop
FACIAL|Spa treatment
FACTOR|Something that contributes
FADING|Growing dim
FAILED|Did not manage it
FAIRLY|Justly, or moderately
FALCON|Hunting bird
FALLEN|Down on the ground
FAMILY|Kin
FAMINE|Widespread hunger
FAMOUS|Everybody knows them
FARMER|Field worker
FASTEN|Do up the seatbelt
FASTER|Quicker
FATHER|Dad
FATHOM|Understand
FAUCET|Kitchen tap
FAULTY|Not working right
FAVORS|Party giveaways
FEEBLE|Weak
FEEDER|Bird's dining spot
FELINE|Of cats
FELLOW|Chap
FEMALE|Not male
FENCES|Yard dividers
FENDER|Car wing
FERRET|Weasel relative
FIASCO|Complete flop
FIBERS|Threads
FICKLE|Changeable
FIDDLE|Country violin
FIELDS|Meadows
FIERCE|Ferocious
FIESTA|Big party
FIGURE|Number, or a shape
FILING|Putting in order
FILLET|Boneless cut
FILTER|Coffee maker part
FILTHY|Very dirty
FINALE|The last act
FINEST|Best
FINGER|Thumb's neighbor
FINISH|The line at the end of the race
FIRMLY|With no give
FISCAL|Of the budget year
FIXING|Repairing
FIZZLE|Peter out
FLAKES|Snow bits
FLAMES|What the fire throws
FLASHY|Showy
FLAVOR|Vanilla or chocolate
FLEECE|Sweatshirt fabric, or swindle
FLIGHT|What you board at the gate
FLINCH|React to the near miss
FLOODS|Deluges
FLOORS|Storeys
FLOPPY|Limp
FLORAL|Patterned with flowers
FLOWER|Rose or tulip
FLUENT|Speaks it like a native
FLUFFY|Soft and airy
FLUIDS|Liquids
FLURRY|Snow burst
FLYERS|Handbills
FODDER|Cattle feed
FOLDER|Where the papers go
FOLLOW|Come after
FONDLY|With warm feeling
FOODIE|Cuisine lover
FORAGE|Hunt for food
FORBID|Ban
FORCED|Made to
FOREST|Woods on a big scale
FORGET|Let it slip your mind
FORGOT|Lost track of
FORMAL|Black tie
FORMAT|How it is laid out
FORMER|The earlier one
FOSSIL|Rock with a print of an old bone
FOSTER|Nurture
FOUGHT|Battled
FOURTH|July holiday, in the States
FRAMED|Put behind glass, or set up
FRAMES|Picture borders
FREELY|Without restraint
FREEZE|Turn to ice
FRENZY|Wild excitement
FRESCO|Wall painting
FRIDGE|Kitchen cooler
FRIEND|Someone you can call
FRIGHT|A bad scare
FRINGE|Edge of the crowd
FRISKY|Playful
FROSTY|Icy
FROZEN|Solid as ice
FRUGAL|Thrifty
FRUITS|Apples and pears
FUMBLE|Drop the ball
FUNGUS|Mushroom's kind
FUNNEL|Cone for pouring
FURROW|Plow line
FUTURE|What is still to come
GADGET|Handy little device
GALAXY|The Milky Way, for one
GALLEY|Ship kitchen
GALLON|Four quarts
GALLOP|Horse's fast pace
GAMBLE|Take a risk
GARAGE|Where the car sleeps
GARDEN|Where you grow things
GARLIC|Bulb in the pasta sauce
GATHER|Bring together
GAZEBO|Park pavilion
GENDER|Male or female
GENIUS|Real brilliance
GENTLE|Soft-handed
GENTLY|Softly
GERBIL|Small caged pet
GEYSER|Old Faithful, for one
GIFTED|Talented
GIGGLE|Small laugh
GINGER|Root in the biscuit
GLADLY|Happily
GLANCE|Quick look
GLIDER|Engineless aircraft
GLITCH|Small malfunction
GLOBAL|Worldwide
GLOOMY|Overcast and low
GLOSSY|Like magazine paper
GLOVES|Winter hand wear
GOALIE|Net minder
GOBLET|Stemmed drinking cup
GOBLIN|Storybook imp
GOLDEN|Like a retriever, or the color
GOLFER|Links player
GOPHER|Burrowing rodent
GOSPEL|The absolute truth
GOSSIP|Talk about the neighbors
GOTTEN|Obtained
GOVERN|Rule the country
GRADES|Report card marks
GRAINS|Wheat and barley
GRANNY|Nana
GRAPES|Vine bunch
GRAPHS|Charts with axes
GRASSY|Covered in lawn
GRATER|Cheese shredder
GRAVEL|Driveway stones
GREASE|Frying fat
GREASY|Oily
GREEDY|Wanting far too much
GREENS|Salad leaves
GRIEVE|Mourn
GROOVE|Record's track
GROUND|What you stand on
GROUPS|Sets of people
GROWTH|Getting bigger
GRUDGE|Old resentment
GRUMPY|One of the seven dwarfs, and cranky
GUARDS|Sentries
GUESTS|Visitors
GUIDES|Tour leaders
GUILTY|Not innocent
GUITAR|Six-string instrument
GUTTER|Roof's rain channel
GUZZLE|Drink fast
HABITS|Routines
HAGGLE|Bargain over price
HAIRDO|Coiffure
HAMLET|Small village, or the Dane
HAMMER|Nail driver
HAMPER|Laundry basket, or hinder
HANDLE|Door grip
HANGAR|Where the plane parks
HANGER|It holds the coat
HAPPEN|Take place
HARBOR|Where boats shelter
HARDEN|Set firm
HARDER|Tougher
HARDLY|Barely at all
HATRED|Deep loathing
HAZARD|Bunker, or a danger
HEALTH|Drink to it
HEARTH|Fireplace floor
HEARTS|Card suit
HEATED|Warmed, or angry
HEATER|Radiator
HEAVEN|The other place
HECTIC|Frantic
HEDGES|Trimmed garden walls
HEIGHT|How tall
HELMET|Bike safety gear
HELPER|Assistant
HERBAL|Like some teas
HEREBY|By this act
HERMIT|Recluse
HEROES|Ones who run in
HEROIC|Very brave
HIATUS|Break in the action
HIDDEN|Out of sight
HIGHER|Farther up
HIGHLY|Very much
HIJACK|Seize a vehicle
HINDER|Get in the way of
HINGES|Door pivots
HIPPIE|Flower child
HIRING|Taking on staff
HITTER|Batter
HOBBLE|Limp along
HOCKEY|Puck sport
HOLDER|Cup's carrier
HOLLOW|Empty inside
HOMAGE|Tribute paid
HONEST|Truthful
HONORS|Graduation distinction
HOOKED|Caught, as a fish
HOOVES|Horse feet
HOPING|Wishing
HORNET|Nasty stinger
HORROR|Scary movie genre
HORSES|Stable dwellers
HOSTEL|Cheap traveler's bed
HOTELS|Where you check in
HOTTER|Less cool
HOUNDS|Hunting dogs
HOURLY|Every sixty minutes
HOUSES|Homes
HUDDLE|Team gathering
HUMANE|Kind
HUMANS|People
HUMBLE|Not full of yourself
HUNGER|The empty feeling
HUNGRY|Ready for dinner
HUNTER|One who tracks
HURDLE|Track barrier, or an obstacle
HUSTLE|Get moving
HYBRID|Part gas, part electric
HYPHEN|Little joining dash
ICICLE|Hanging winter spike
ICONIC|Instantly recognized
IGNITE|Set alight
IGNORE|Pay no attention to
IMAGES|Pictures
IMMUNE|Not affected
IMPACT|The moment of collision
IMPAIR|Weaken
IMPORT|Bring in from abroad
IMPOSE|Force it on someone
INCHES|Twelve to a foot
INCOME|What comes in
INDENT|Start of the paragraph
INDIGO|Between blue and violet
INDOOR|Not out in the weather
INDUCE|Bring about
INFANT|The very young one
INFECT|Pass a germ to
INFORM|Let them know
INHALE|Breathe in
INJECT|Give a shot of
INJURE|Hurt
INJURY|Sideline cause
INLAND|Away from the coast
INMATE|Prisoner
INNATE|Inborn
INSANE|Out of your mind
INSECT|Six-legged crawler
INSERT|Slip it in
INSIDE|Indoors
INSIST|Refuse to drop it
INSULT|Slight
INTACT|Not a scratch on it
INTEND|Mean to
INTENT|What you meant to do
INTERN|Trainee
INVADE|March in uninvited
INVENT|Come up with it first
INVEST|Put money in
INVITE|Ask them along
INVOKE|Call upon
INWARD|Toward the middle
IRONIC|The opposite of what you'd expect
ISLAND|Land with water all round
ISSUES|Problems, or magazine numbers
ITALIC|Slanted type
ITSELF|On its own
JACKET|Coat
JAGGED|Saw toothed
JARGON|Trade lingo
JERSEY|Team shirt
JESTER|Court fool
JIGSAW|Puzzle of pieces
JINGLE|Ad ditty
JOCKEY|Horse rider in silks
JOGGER|Park runner
JOINTS|Knees and elbows
JOKING|Not serious
JOSTLE|Push through the crowd
JOVIAL|Merry
JUDGES|The ones on the bench
JUGGLE|Keep three in the air
JUMBLE|Mix up
JUMPER|Sleeveless dress
JUNGLE|Thick tropical forest
JUNIOR|The younger one
JUSTLY|Fairly
KARATE|Chopping martial art
KEEPER|One worth holding on to
KENNEL|Where the dog boards
KERNEL|Corn's grain
KETTLE|It whistles when it boils
KEYPAD|Number entry panel
KIDNAP|Abduct
KIDNEY|Bean, or the organ
KILLER|Murderer
KINDLE|Start a fire
KINDLY|In a nice way
KITTEN|Young cat
KNIGHT|Chess horse, or Sir
KNIVES|Cutlery drawer blades
KOSHER|Fit to eat, in Jewish law
LABELS|Jar stickers
LADDER|Rungs to climb
LADIES|Room sign
LAGOON|Sheltered shallow water
LAMENT|Mourn out loud
LAPTOP|Portable computer
LARGER|More sizable
LATELY|Of late
LATEST|Most recent
LATHER|Soap suds
LATTER|The second of the two
LAUGHS|Chuckles
LAUNCH|Send the rocket up
LAVISH|Extravagant
LAWFUL|Legal
LAWYER|Bar member
LAYERS|Onion has them
LAZILY|Without hurry
LEADER|The one out front
LEAGUE|Where the teams play
LEAVES|Rake target
LEDGER|Book of accounts
LEGACY|What you leave behind
LEGEND|Map key, or a great
LEGION|Vast number
LEMONS|Sour yellow fruit
LENDER|Loan giver
LENGTH|How long
LENSES|Glasses parts
LESSEN|Cut down
LESSON|What the teacher gives
LETTER|A through Z, or mail
LEVELS|Floors
LIABLE|Responsible
LIKELY|Probable
LIKING|Fondness
LIMBER|Loose and flexible
LIMITS|Boundaries
LINEAR|Along one dimension
LINGER|Hang about
LIQUID|Neither solid nor gas
LIQUOR|Hard drink
LISTEN|Lend an ear
LITTER|Roadside trash, or a batch of pups
LITTLE|Small
LIVELY|Full of go
LIVING|Alive
LIZARD|Sunbathing reptile
LOAFER|Slip on shoe
LOCALE|Setting
LOCALS|The people who live there
LOCATE|Find
LOCKER|School hallway cubby
LOCKET|Photo pendant
LOOSEN|Slacken off
LOTION|Skin cream
LOUDER|Turn it up
LOUDLY|Noisily
LOUNGE|Sitting room
LOVELY|Really rather nice
LOWEST|Rock bottom
LUMBER|Sawmill output
LUNACY|Madness
LUXURY|The good life
LYRICS|The words to the song
MAGNET|Fridge sticker with a pull
MAIDEN|First voyage
MAINLY|For the most part
MAKEUP|Lipstick and mascara
MALICE|Ill will
MALLET|Croquet hammer
MAMMAL|Whale or human
MANAGE|Get it done, or run the shop
MANGLE|Wreck completely
MANIAC|Wild one
MANNER|The way you do it
MANTLE|Fireplace shelf
MANUAL|The book that came with it
MARBLE|Kid's shooter, or the stone
MARGIN|Page's blank edge
MARINA|Boat basin
MARINE|Of the sea, or a soldier
MARKER|Felt tip pen
MARKET|Where the stalls are
MARROW|Inside the bone
MARVEL|Wonder at
MASCOT|Sideline costume
MASTER|The one in charge
MATTER|Substance, or importance
MATURE|Grown up
MEADOW|Grassy field
MEAGER|Scanty
MEDALS|Podium hardware
MEDDLE|Butt in
MEDIAN|Middle value
MEDIUM|Between small and large
MELODY|The tune
MELONS|Cantaloupes
MEMBER|One of the club
MEMOIR|Life story
MEMORY|What you keep of it
MENACE|Threat
MENTAL|Of the mind
MENTOR|Guiding elder
MERELY|Only
MERGER|Two companies become one
MERITS|Deserves
METALS|Iron and tin
METEOR|Shooting star
METERS|Parking devices
METHOD|The way it is done
MIDDAY|Noon
MIDDLE|Center
MIDWAY|Fairground strip
MIGHTY|Very powerful
MILDLY|Not to put too fine a point on it
MINGLE|Work the party
MINING|Digging for ore
MINNOW|Small bait fish
MINUTE|Sixty seconds
MIRAGE|Desert illusion
MIRROR|What you check your hair in
MISERY|Real wretchedness
MISFIT|One who does not belong
MISHAP|Small accident
MISTER|Title before a surname
MITTEN|Thumb only glove
MIXING|Stirring together
MOBILE|On the move, or a crib hanger
MODELS|Runway walkers
MODERN|Of right now
MODEST|Not boastful
MODIFY|Change slightly
MOLTEN|Melted rock hot
MOMENT|Just a
MONKEY|Zoo swinger
MONTHS|Twelve a year
MORALS|Principles
MORGUE|Body storage
MOROSE|Gloomy
MORTAL|Not going to live forever
MORTAR|Brick cement
MOSAIC|Picture in little tiles
MOSQUE|Muslim place of worship
MOSTLY|Chiefly
MOTHER|Mom
MOTION|Movement
MOTIVE|Detective wants one
MOTORS|Engines
MOUSSE|Chocolate dessert
MOVIES|Films
MOVING|In motion
MUFFIN|Blueberry breakfast bake
MUFFLE|Deaden the sound
MUMBLE|Speak unclearly
MURDER|Case for the detective
MURMUR|Low steady sound
MUSCLE|What the gym builds
MUSEUM|Where the exhibits are
MUSKET|Old long gun
MUSTER|Round up the troops
MUTINY|Crew revolt
MUTTER|Grumble under your breath
MUTUAL|Shared both ways
MUZZLE|Dog's snout cover
MYSELF|Yours truly
MYSTIC|Of the unexplainable
NAMELY|That is to say
NAPKIN|Lap cloth
NARROW|Not wide
NATION|Country
NATIVE|Born there
NATURE|The great outdoors
NEARBY|Just around the corner
NEARLY|Almost
NEATLY|Tidily
NEBULA|Space gas cloud
NECTAR|Flower sweet
NEEDLE|It has an eye
NEPHEW|Sister's son
NERVES|What the big night frays
NEURAL|Of the nerves
NEWEST|The latest one
NIBBLE|Take a small bite
NICELY|Well done
NICKEL|Five cents
NIMBLE|Light on the feet
NINETY|A decade short of a century
NOBODY|Not a soul
NOODLE|Ramen strand
NORMAL|The usual
NOTICE|Spot it, or a posted sign
NOTIFY|Send word to
NOTION|Idea
NOVELS|Fiction on the shelf
NOZZLE|Hose tip
NUANCE|Subtle shade
NUGGET|Gold find, or a chicken bite
NUMBER|One, two, three
NUTMEG|Eggnog spice
NUZZLE|Snuggle up to
OBJECT|Thing, or protest
OBLIGE|Do them the favor
OBLONG|Longer than wide
OBTAIN|Get hold of
OBTUSE|Wider than a right angle
OCCUPY|Take up the space
OCCURS|Happens
OCEANS|Vast waters
OCTAVE|Do to do
ODDITY|Strange thing
OFFEND|Give someone a reason to be cross
OFFERS|Bids
OFFICE|Where the desk is
OFFSET|Balance out
OLDEST|First in line by years
OMELET|Egg dish
ONIONS|They make you cry
ONLINE|On the internet
ONWARD|Keep going
OPENER|Bottle tool, or the first game
OPENLY|Frankly
OPPOSE|Come out against
OPTION|One of the choices
ORACLE|Ancient teller of the future
ORANGE|Citrus, and the color
ORBITS|Circles a planet
ORCHID|Elegant potted bloom
ORDEAL|A rough time of it
ORDERS|What the sergeant gives
ORGANS|Heart and lungs
ORIGIN|Where it started
ORNATE|Highly decorated
ORPHAN|Annie, famously
OSPREY|Fish-hunting hawk
OTHERS|The rest of them
OUNCES|Sixteen to a pound
OUTAGE|The lights go out
OUTCRY|Public protest
OUTFIT|The whole ensemble
OUTING|Day trip
OUTLAW|Wanted poster subject
OUTLET|Where you plug it in
OUTPUT|What the factory turns out
OUTSET|The very beginning
OUTWIT|Get the better of
OWNERS|Proprietors
OXYGEN|What you breathe in
OYSTER|The world is your what
PACKET|Small parcel
PADDLE|Canoe mover
PALACE|Where the king lives
PALATE|Sense of taste
PAMPER|Spoil
PANELS|Wall sections
PANTRY|Where the tins are kept
PAPERS|Documents
PARADE|Marching bands down Main Street
PARCEL|Package in the post
PARDON|Beg yours
PARENT|Mother or father
PARISH|Church district
PARLOR|Front sitting room
PARODY|Spoof
PARROT|It repeats what you say
PARTLY|Not entirely
PASTEL|Soft chalky color
PASTOR|Church leader
PASTRY|What the danish is made of
PATENT|Inventor's protection
PATROL|Beat walk
PATRON|Regular customer
PAUPER|Prince's opposite
PAYING|Settling the bill
PEANUT|Ballgame nut
PEARLS|Oyster gems
PEBBLE|Small smooth stone
PEDALS|Bike parts you push
PEDDLE|Sell door to door
PELLET|Tiny ball
PENCIL|It has an eraser
PEOPLE|Folks
PEPPER|Salt's partner
PERIOD|Full stop
PERISH|Die out
PERMIT|Allow, or a license
PERSON|Individual
PESTER|Nag
PETALS|Bloom parts
PETITE|Small in size
PHONES|Handsets
PHOTOS|Snapshots
PHRASE|Turn of one
PIANOS|Keyboard instruments
PICKLE|Deli spear, or a jam
PICNIC|Basket and a blanket
PIECES|Bits
PIERCE|Poke through
PIGEON|Park bird
PILLAR|Supporting column
PILLOW|Head rest
PILOTS|Cockpit crew
PIMPLE|Skin blemish
PIRATE|Jolly Roger flier
PISTOL|Handgun
PISTON|It moves in the cylinder
PLACES|Everyone to their own, on set
PLACID|Calm
PLAGUE|Sweeping sickness
PLAINS|Flat lands
PLANET|Mars, for one
PLANKS|Deck boards
PLANTS|Green things in pots
PLAQUE|Wall tablet
PLASMA|Blood's liquid part
PLATES|Dinner service pieces
PLAYER|One on the team
PLEDGE|A solemn promise
PLENTY|More than enough
PLIERS|Gripping tool
PLUNGE|Take the
PLURAL|More than one
POCKET|Where the keys go
PODIUM|Speaker's stand
POETIC|Like verse
POETRY|Verse
POINTS|Score, or sharp ends
POISON|Skull and crossbones warning
POLICE|Nine-one-one responders
POLICY|The rule of the house
POLISH|Shoe shine
POLITE|Well mannered
POLLEN|Hay fever cause
PONDER|Turn it over in your mind
PONIES|Small horses
POODLE|Curly haired dog
PORTAL|Grand doorway
PORTER|Station bag carrier
POSTAL|Of the mail
POSTER|Wall print
POTATO|Chip's source
POTENT|Powerful
POTION|Magic drink
POTTER|Wheel worker
POWDER|Fresh snow, or talc
PRAISE|Kind words
PRANCE|Strut about
PRAYER|Words said with eyes closed
PREACH|Give the sermon
PREFER|Like better
PREFIX|Word start
PRETTY|Good-looking
PRICES|Tags on the shelf
PRICEY|On the steep side
PRIEST|Confession hearer
PRIMAL|Basic and deep
PRIMER|Paint's first coat
PRINCE|King's son
PRINTS|Fingertip evidence
PRISON|Where the sentence is served
PRIZES|Fair booth rewards
PROFIT|What is left after costs
PROMPT|On time, or a nudge
PROPEL|Push forward
PROPER|As it should be
PROVEN|Shown beyond doubt
PUBLIC|Everybody
PUDDLE|Rain leaves it
PULPIT|Where the sermon comes from
PUNISH|Make them pay for it
PUPILS|Class members, or eye parts
PUPPET|String-worked figure
PURELY|Only and entirely
PURITY|Cleanness
PURPLE|Grape color
PURSUE|Chase after
PUZZLE|What you are doing right now
QUAINT|Charmingly old fashioned
QUARRY|Stone pit, or the hunted
QUARTZ|Watch crystal
QUEASY|Sick to the stomach
QUENCH|Satisfy a thirst
QUIRKY|Offbeat
QUIVER|Arrow holder, or tremble
RABBIT|Hat dweller
RACIAL|Of ethnicity
RACING|Flat out
RACKET|Tennis gear, or a din
RADIAL|Spoke like
RADIOS|Dial sets
RADISH|Peppery root
RAFFLE|Ticket drawing
RAFTER|Roof beam
RAGGED|Tattered
RAISIN|Dried grape
RAMBLE|Wander on and on
RANCID|Gone bad, as butter
RANDOM|By chance
RANGER|Park warden
RANSOM|Kidnapper's price
RAPIDS|White water
RARELY|Hardly ever
RASCAL|Mischief maker
RATHER|Somewhat, or preferably
RATING|Star score
RATTLE|Baby's shaker
RAVINE|Steep narrow valley
READER|One with a book
REALLY|Truly
REASON|The why of it
REBATE|Money back
REBELS|Ones who rise up
RECALL|Bring to mind
RECENT|Not long ago
RECESS|School break
RECIPE|Cook's instructions
RECITE|Say from memory
RECKON|Figure it to be so
RECORD|Vinyl disc, or the best ever
REDUCE|Bring down
REFILL|Top up
REFINE|Polish up
REFORM|Change for the better
REFUGE|A safe place
REFUND|Money back
REFUSE|Say no
REGARD|High esteem
REGIME|Ruling system
REGION|Part of the country
REGRET|Wish you hadn't
REHEAT|Put it back in the microwave
REJECT|Turn it down
RELATE|Connect with
RELIEF|What the aspirin brings
RELISH|Hot dog topping, or enjoy
RELIVE|Experience again
REMAIN|Stay put
REMARK|Passing comment
REMEDY|The cure
REMIND|Jog the memory
REMOTE|Far off, or the clicker
REMOVE|Take away
RENDER|Give, or draw
RENTAL|What you hire
REPAIR|Fix
REPEAL|Undo a law
REPEAT|Say it again
REPENT|Feel sorry for sin
REPLAY|Roll the tape back
REPORT|Card sent home
RESCUE|Save from danger
RESENT|Hold it against them
RESIDE|Live at
RESIGN|Hand in your notice
RESIST|Push back against
RESORT|Holiday spot, or last option
RESULT|What comes of it
RESUME|Pick it back up
RETAIL|Shop selling
RETAIN|Hold on to
RETIRE|Hang up the boots
RETORT|Sharp reply
RETURN|Come back
REVEAL|Show at last
REVIEW|Look it over again
REVISE|Go over the draft
REVIVE|Bring back to life
REVOLT|Rise up
REWARD|What the poster offers
REWIND|Roll back
RHYMES|Moon and June do
RHYTHM|Beat
RIBBON|Prize strip
RIDDLE|Puzzling question
RIDING|On horseback
RIGHTS|What you have by law
RIPPLE|Small water ring
RISING|On the way up
RITUAL|The same thing every time
RIVALS|The other side
RIVERS|Flowing waters
ROBBER|Bank thief
ROBUST|Strong and healthy
ROCKET|It goes to the moon
RODENT|Rat or mouse
ROLLER|Paint tool
ROOKIE|First-year player
ROSTER|The team list
ROTATE|Turn on the spot
ROTTEN|Spoiled through
ROUTER|Network box
ROUTES|Ways to get there
ROWING|Using oars
ROYALS|Kings and queens
RUBBER|Eraser material
RUBBLE|What is left of the wall
RUBIES|Red gems
RUDDER|Steering fin
RUFFLE|Frilly trim, or upset
RUGGED|Tough terrain
RULERS|Kings and queens, or measuring sticks
RUMBLE|Distant thunder sound
RUMORS|Unverified talk
RUNNER|Marathon entrant
RUNWAY|Where the plane lands
RUSTIC|Charmingly countryish
RUSTLE|Leaf sound
SADDEN|Make blue
SADDLE|Horse seat
SAFARI|Game drive
SAFELY|Without a scratch
SAFETY|Being out of danger
SAILOR|Deck hand
SALADS|Greens dishes
SALARY|Monthly pay
SALMON|Pink fish
SALOON|Western bar
SALUTE|Hand to the brow
SAMPLE|Free taste
SANDAL|Summer shoe
SANITY|Soundness of mind
SATIRE|Biting humor
SAUCER|What the cup sits on
SAVAGE|Fierce
SAVING|Putting it by
SAVORY|Not sweet
SAYING|Old proverb
SCALES|Bathroom weigher, or fish coat
SCARCE|Hard to come by
SCARED|Frightened
SCENIC|The pretty route
SCHEME|Plan, often shady
SCHOOL|Where the lessons are
SCORCH|Burn the shirt with the iron
SCORES|Game tallies
SCOUTS|Camp badge earners
SCRAPE|Graze the knee
SCRAPS|Leftover bits
SCREAM|Horror movie sound
SCREEN|What you watch it on
SCRIBE|Copyist
SCRIPT|The actor's lines
SCROLL|Roll of parchment
SEARCH|Look high and low
SEASON|Spring, for one
SECOND|Runner-up
SECRET|Don't tell
SECTOR|Slice of the economy
